action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2041514,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)CSC1(C)C,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '16.29', 'le': '0.31', 'lle': '6.70', 'sei': '8.21'}",CHEMBL298393,,CHEMBL298393,10.52,0,http://www.openphacts.org/units/Nanomolar,677447,=,1,1,=,,IC50,nM,,0.03,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,0.03
,,2041520,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)CCC1(C)C,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '15.70', 'le': '0.29', 'lle': '6.08', 'sei': '7.69'}",CHEMBL397403,,CHEMBL397403,9.85,0,http://www.openphacts.org/units/Nanomolar,677451,=,1,1,=,,IC50,nM,,0.14,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,0.14
,,2041521,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nsc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '15.09', 'le': '0.29', 'lle': '6.91', 'sei': '6.65'}",CHEMBL247616,,CHEMBL247616,10.00,0,http://www.openphacts.org/units/Nanomolar,677456,=,1,1,=,,IC50,nM,,0.1,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,0.1
,,2041522,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1noc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '15.00', 'le': '0.28', 'lle': '7.07', 'sei': '5.93'}",CHEMBL395207,,CHEMBL395207,9.70,0,http://www.openphacts.org/units/Nanomolar,677455,=,1,1,=,,IC50,nM,,0.2,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,0.2
,,2041523,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)C(=O)N1COC2(CCCC2)[C@H]1C(=O)NCc1c(Cl)cccc1Cl,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '14.30', 'le': '0.28', 'lle': '5.63', 'sei': '7.25'}",CHEMBL395214,,CHEMBL395214,9.96,0,http://www.openphacts.org/units/Nanomolar,677454,=,1,1,=,,IC50,nM,,0.11,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,0.11
,,2041524,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '15.25', 'le': '0.28', 'lle': '6.36', 'sei': '7.28'}",CHEMBL398053,,CHEMBL398053,10.00,0,http://www.openphacts.org/units/Nanomolar,677453,=,1,1,=,,IC50,nM,,0.1,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,0.1
,,2041525,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC1(C)C,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '15.51', 'le': '0.29', 'lle': '6.67', 'sei': '7.11'}",CHEMBL247615,,CHEMBL247615,9.77,0,http://www.openphacts.org/units/Nanomolar,677452,=,1,1,=,,IC50,nM,,0.17,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,0.17
,,2054116,[],CHEMBL923870,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(O)cc(O)c1C(=O)/C=C/c1ccccc1,,,CHEMBL1140598,Eur J Med Chem,2007,,CHEMBL378104,CARDAMOMIN,CHEMBL378104,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,681683,=,1,1,=,,IC50,ug.mL-1,,31.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,31.0
,,2060547,[],CHEMBL925700,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21,,,CHEMBL1141313,Bioorg Med Chem,2007,"{'bei': '15.68', 'le': '0.30', 'lle': '5.50', 'sei': '8.00'}",CHEMBL315403,,CHEMBL315403,8.74,0,http://www.openphacts.org/units/Nanomolar,684310,=,1,1,=,,IC50,nM,,1.8,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,1.8
,,2060558,[],CHEMBL925700,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1C[C@@H]2CCO[C@@H]2C1)S(=O)(=O)c1ccc(CO)cc1,,,CHEMBL1141313,Bioorg Med Chem,2007,"{'bei': '15.60', 'le': '0.31', 'lle': '5.65', 'sei': '6.97'}",CHEMBL254349,,CHEMBL254349,8.74,0,http://www.openphacts.org/units/Nanomolar,684314,=,1,1,=,,IC50,nM,,1.8,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,1.8
,,2180159,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1155677,J Nat Prod,2000,,CHEMBL376350,,CHEMBL376350,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759471,>,1,1,>,,IC50,ug.mL-1,,100.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,100.0
,,2180160,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,,,CHEMBL1155677,J Nat Prod,2000,,CHEMBL301728,ACETYLPEPSTATIN,CHEMBL301728,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759374,=,1,1,=,,IC50,ug.mL-1,,0.15,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,0.15
,,2180161,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OC[C@@]1(C)C(=O)CC[C@@]2(C)[C@H]1CC=C1[C@@H]2CC[C@@]2(C)[C@H]([C@H](CCC=C(C)C)C(=O)O)CC[C@]12C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1155677,J Nat Prod,2000,,CHEMBL474062,,CHEMBL474062,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759373,>,1,1,>,,IC50,ug.mL-1,,100.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,100.0
,,2180162,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)=CCC[C@H](C(=O)O)[C@@H]1CC[C@]2(C)C3=CC[C@@H]4[C@](C)(CC[C@H](O)[C@]4(C)CO)[C@H]3CC[C@@]12C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1155677,J Nat Prod,2000,,CHEMBL518610,,CHEMBL518610,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759372,=,1,1,=,,IC50,ug.mL-1,,100.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,100.0
,,2180163,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)=CCC[C@H](C(=O)O)[C@@H]1CC[C@]2(C)C3=CC[C@@H]4[C@](C)(CC[C@@H](O)[C@]4(C)CO)[C@H]3CC[C@@]12C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1155677,J Nat Prod,2000,,CHEMBL479702,,CHEMBL479702,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759371,>,1,1,>,,IC50,ug.mL-1,,100.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,100.0
,,2180164,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)=CCC[C@H](C(=O)O)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1155677,J Nat Prod,2000,,CHEMBL479306,,CHEMBL479306,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759370,=,1,1,=,,IC50,ug.mL-1,,100.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,100.0
,,2180165,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1cc(O)c2c(c1)O[C@@]1(c3cc(O)c(O)c(O)c3)Oc3cc(O)c4c(c3[C@@H]2[C@H]1O)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C4,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1155677,J Nat Prod,2000,,CHEMBL501115,,CHEMBL501115,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759476,=,1,1,=,,IC50,ug.mL-1,,70.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,70.0
,,2180166,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1cc(O)c2c(c1)O[C@@]1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3[C@@H]2[C@H]1O)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C4,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1155677,J Nat Prod,2000,,CHEMBL286933,PROANTHOCYANIDIN A2,CHEMBL286933,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759475,>,1,1,>,,IC50,ug.mL-1,,100.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,100.0
,,2180167,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,,,CHEMBL1155677,J Nat Prod,2000,,CHEMBL168,OLEANOLIC_ACID,CHEMBL168,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759474,=,1,1,=,,IC50,ug.mL-1,,10.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,10.0
,,2180168,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)=CCC[C@H](C(=O)O)[C@@H]1CC[C@]2(C)C3=CC[C@@H]4[C@](C)(CCC(=O)[C@]4(C)CO)[C@H]3CC[C@@]12C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1155677,J Nat Prod,2000,,CHEMBL516768,XANTHOCERASIC ACID,CHEMBL516768,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759473,>,1,1,>,,IC50,ug.mL-1,,100.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,100.0
,,2180169,[],CHEMBL971950,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)=CCC[C@H](C(=O)O)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,,,CHEMBL1155677,J Nat Prod,2000,,CHEMBL481824,,CHEMBL481824,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,759472,=,1,1,=,,IC50,ug.mL-1,,20.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,20.0
,,2232061,[],CHEMBL976264,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc2ncsc2c1,,,CHEMBL1156694,Eur J Med Chem,2008,,CHEMBL507319,,CHEMBL507319,,0,http://www.openphacts.org/units/Nanomolar,724064,<,1,1,<,,IC50,nM,,10.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,10.0
,,2239284,[],CHEMBL967168,Inhibition of HIV1 3B recombinant protease,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(cc(O)c(-c4c(O)cc5c(c4O)Oc4c(Oc6cc(O)cc(O)c6)c(O)cc(O)c4O5)c2O)O3)c1,,,CHEMBL1139406,Bioorg Med Chem,2008,"{'bei': '5.51', 'le': '0.10', 'lle': '-3.11', 'sei': '1.37'}",CHEMBL443626,,CHEMBL443626,4.09,0,http://www.openphacts.org/units/Nanomolar,721951,=,1,1,=,,IC50,nM,,81500.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,uM,UO_0000065,,81.5
,,2311066,[],CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,B,,,BAO_0000190,BAO_0000221,tissue-based format,O=C(O)CCCC#CC#C/C=C/CC/C=C/C#C/C=C/Br,,,CHEMBL1149737,J Nat Prod,1992,"{'bei': '15.13', 'le': '0.34', 'lle': '1.17', 'sei': '14.00'}",CHEMBL450380,,CHEMBL450380,5.22,0,http://www.openphacts.org/units/Nanomolar,790712,=,1,1,=,,IC50,nM,,6000.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,uM,UO_0000065,,6.0
,,2311067,[],CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)CCCC#CC#C/C=C/CCCCCC/C=C/Br,,,CHEMBL1149737,J Nat Prod,1992,"{'bei': '13.69', 'le': '0.31', 'lle': '-0.14', 'sei': '19.01'}",CHEMBL478974,,CHEMBL478974,5.00,0,http://www.openphacts.org/units/Nanomolar,790739,=,1,1,=,,IC50,nM,,10000.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,uM,UO_0000065,,10.0
,,2311068,[],CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,B,,,BAO_0000190,BAO_0000221,tissue-based format,O=C(O)CCCC#CC#C/C=C/CCCC/C=C/C#CBr,,,CHEMBL1149737,J Nat Prod,1992,"{'bei': '14.84', 'le': '0.34', 'lle': '0.87', 'sei': '13.82'}",CHEMBL478973,,CHEMBL478973,5.16,0,http://www.openphacts.org/units/Nanomolar,790738,=,1,1,=,,IC50,nM,,7000.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,uM,UO_0000065,,7.0
,,2311069,[],CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,B,,,BAO_0000190,BAO_0000221,tissue-based format,O=C(O)CCCC#CC#C/C=C/CCCCCC/C=C/Br,,,CHEMBL1149737,J Nat Prod,1992,"{'bei': '14.01', 'le': '0.32', 'lle': '-0.13', 'sei': '13.19'}",CHEMBL449762,,CHEMBL449762,4.92,0,http://www.openphacts.org/units/Nanomolar,790715,=,1,1,=,,IC50,nM,,12000.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,uM,UO_0000065,,12.0
,,2311070,[],CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,B,,,BAO_0000190,BAO_0000221,tissue-based format,O=C(O)CCCC#CC#C/C=C/CCCCC#C/C=C/Br,,,CHEMBL1149737,J Nat Prod,1992,"{'bei': '14.68', 'le': '0.33', 'lle': '0.82', 'sei': '13.66'}",CHEMBL476874,,CHEMBL476874,5.10,0,http://www.openphacts.org/units/Nanomolar,790714,=,1,1,=,,IC50,nM,,8000.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,uM,UO_0000065,,8.0
,,2311071,[],CHEMBL954608,Inhibition of HIV1 protease-mediated proteolysis of rabbit muscle lactate dehydrogenase by spectrophotometry,B,,,BAO_0000190,BAO_0000221,tissue-based format,O=C(O)CCCC#C/C=C/CCCC/C=C/C#C/C=C/Br,,,CHEMBL1149737,J Nat Prod,1992,"{'bei': '14.32', 'le': '0.33', 'lle': '0.17', 'sei': '13.40'}",CHEMBL476873,,CHEMBL476873,5.00,0,http://www.openphacts.org/units/Nanomolar,790713,=,1,1,=,,IC50,nM,,10000.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,uM,UO_0000065,,10.0
,,2314909,[],CHEMBL1015783,Inhibition of HIV1 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2cc3c(=O)oc4c(O)c(O)cc5c(=O)oc(c2O)c3c45)O[C@H]1C,,,CHEMBL1150692,J Nat Prod,2003,,CHEMBL477538,,CHEMBL477538,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,790369,=,1,1,=,,IC50,ug.mL-1,,11.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,ug ml-1,UO_0000274,,11.0
